Nome do Eixo;Problema central do eixo;Causa Primária;Categoria Causa Primária;Causa Secundária;Categoria Secundária;Votos causa secundária;Causa Terciária;Categoria Terciária
Eixo 5 - Acompanhamento e Monitoramento;Fragilidade na sistematização e unificação de critérios, papéis e instrumentos definidos para o acompanhamento e monitoramento das práticas e aprendizagens de alfabetização — entre SME, DREs e unidades escolares — que fragmenta as ações e as mantém desintegradas das rotinas pedagógicas.;Rotatividade de professores fragmenta a continuidade do acompanhamento;Alta rotatividade de professores;Ausência de critérios para retenção de professores alfabetizadores;Ausência de critérios para retenção de professores alfabetizadores;;;
Eixo 5 - Acompanhamento e Monitoramento;Fragilidade na sistematização e unificação de critérios, papéis e instrumentos definidos para o acompanhamento e monitoramento das práticas e aprendizagens de alfabetização — entre SME, DREs e unidades escolares — que fragmenta as ações e as mantém desintegradas das rotinas pedagógicas.;Rotatividade de professores fragmenta a continuidade do acompanhamento;Alta rotatividade de professores;Professores contratados excluídos das formações em JEIF — chegam às turmas sem o repertório compartilhado pela rede;Participação desigual de professores nas formações (JEIF e Contratados);5;;
Eixo 5 - Acompanhamento e Monitoramento;Fragilidade na sistematização e unificação de critérios, papéis e instrumentos definidos para o acompanhamento e monitoramento das práticas e aprendizagens de alfabetização — entre SME, DREs e unidades escolares — que fragmenta as ações e as mantém desintegradas das rotinas pedagógicas.;Rotatividade de professores fragmenta a continuidade do acompanhamento;Alta rotatividade de professores;Ruptura dos processos pedagógicos — cada troca de professor reinicia o ciclo de acompanhamento longitudinal;Alta rotatividade de professores;1;;
Eixo 5 - Acompanhamento e Monitoramento;Fragilidade na sistematização e unificação de critérios, papéis e instrumentos definidos para o acompanhamento e monitoramento das práticas e aprendizagens de alfabetização — entre SME, DREs e unidades escolares — que fragmenta as ações e as mantém desintegradas das rotinas pedagógicas.;Insuficiência do quadro de profissionais de apoio compromete o acompanhamento individualizado;Insuficiência do quadro de profissionais  ;CP e POA sobrecarregados com com turmas de estudantes com necessidades específicas;Fragilidades na consolidação de identidades e sobrecarga de demandas do Trio Gestor (Diretores, ADs e CPs) e POA, impactando o planejamento integrado;;;
Eixo 5 - Acompanhamento e Monitoramento;Fragilidade na sistematização e unificação de critérios, papéis e instrumentos definidos para o acompanhamento e monitoramento das práticas e aprendizagens de alfabetização — entre SME, DREs e unidades escolares — que fragmenta as ações e as mantém desintegradas das rotinas pedagógicas.;Insuficiência do quadro de profissionais de apoio compromete o acompanhamento individualizado;Insuficiência do quadro de profissionais  ;Dificuldade de realizar observação e devolutiva individualizada quando há déficit de profissionais de apoio;Sobrecarga de demandas e fragilidade no planejamento e o acompanhamento pedagógico dos estudantes e das práticas docentes.;4;;
Eixo 5 - Acompanhamento e Monitoramento;Fragilidade na sistematização e unificação de critérios, papéis e instrumentos definidos para o acompanhamento e monitoramento das práticas e aprendizagens de alfabetização — entre SME, DREs e unidades escolares — que fragmenta as ações e as mantém desintegradas das rotinas pedagógicas.;Insuficiência do quadro de profissionais de apoio compromete o acompanhamento individualizado;Insuficiência do quadro de profissionais  ;Desafios no acompanhamento pedagógico individualizado diante da elevada complexidade e diversidade das turmas (AEE, vulnerabilidades, defasagens, infrequência etc.);Fragilidade no atendimento dos estudantes em suas individualidades (AEE e vulnerabilidades);;;
Eixo 5 - Acompanhamento e Monitoramento;Fragilidade na sistematização e unificação de critérios, papéis e instrumentos definidos para o acompanhamento e monitoramento das práticas e aprendizagens de alfabetização — entre SME, DREs e unidades escolares — que fragmenta as ações e as mantém desintegradas das rotinas pedagógicas.;Insuficiência do quadro de profissionais de apoio compromete o acompanhamento individualizado;Insuficiência do quadro de profissionais  ;Turmas com número alto de estudantes para acompanhamento;Alto número de estudantes por turma;;;
Eixo 5 - Acompanhamento e Monitoramento;Fragilidade na sistematização e unificação de critérios, papéis e instrumentos definidos para o acompanhamento e monitoramento das práticas e aprendizagens de alfabetização — entre SME, DREs e unidades escolares — que fragmenta as ações e as mantém desintegradas das rotinas pedagógicas.;Fragilidade das formações como suporte ao acompanhamento pedagógico;Fragilidade na formação continuada de professores e trio gestor acerca da alfabetização ;Fragmentação de orientações e práticas entre professores efetivos (JEIF) e contratados;Participação desigual de professores nas formações (JEIF e Contratados);;;
Eixo 5 - Acompanhamento e Monitoramento;Fragilidade na sistematização e unificação de critérios, papéis e instrumentos definidos para o acompanhamento e monitoramento das práticas e aprendizagens de alfabetização — entre SME, DREs e unidades escolares — que fragmenta as ações e as mantém desintegradas das rotinas pedagógicas.;Fragilidade das formações como suporte ao acompanhamento pedagógico;Fragilidade na formação continuada de professores e trio gestor acerca da alfabetização ;Desarticulação entre o cronograma/temáticas formativas e as demandas emergenciais dos territórios, dificultando a integração entre a diretriz geral e a prática cotidiana;Desafios na integração do cronograma formativo por ciclos e na conexão das temáticas com a realidade cotidiana e as necessidades dos territórios;;;
Eixo 5 - Acompanhamento e Monitoramento;Fragilidade na sistematização e unificação de critérios, papéis e instrumentos definidos para o acompanhamento e monitoramento das práticas e aprendizagens de alfabetização — entre SME, DREs e unidades escolares — que fragmenta as ações e as mantém desintegradas das rotinas pedagógicas.;Fragilidade das formações como suporte ao acompanhamento pedagógico;Fragilidade na formação continuada de professores e trio gestor acerca da alfabetização ;Pouco repertório técnico dos CPs sobre especificidades do ciclo de alfabetização — dificuldade de saber o que observar e como dar devolutiva;Fragilidade na formação continuada de professores e trio gestor acerca da alfabetização ;;;
Eixo 5 - Acompanhamento e Monitoramento;Fragilidade na sistematização e unificação de critérios, papéis e instrumentos definidos para o acompanhamento e monitoramento das práticas e aprendizagens de alfabetização — entre SME, DREs e unidades escolares — que fragmenta as ações e as mantém desintegradas das rotinas pedagógicas.;Dificuldade na compreensão e análise dos parâmetros que orientam as sondagens — interpretações distintas;Dificuldade na compreensão e análise dos parâmetros que orientam as sondagens — interpretações distintas;Lacunas na institucionalização e implementação de instrumentos padronizados para o monitoramento contínuo do desenvolvimento das aprendizagens.;Lacunas na institucionalização e implementação de instrumentos padronizados para o monitoramento contínuo do desenvolvimento das aprendizagens.;;;
Eixo 5 - Acompanhamento e Monitoramento;Fragilidade na sistematização e unificação de critérios, papéis e instrumentos definidos para o acompanhamento e monitoramento das práticas e aprendizagens de alfabetização — entre SME, DREs e unidades escolares — que fragmenta as ações e as mantém desintegradas das rotinas pedagógicas.;Dificuldade na compreensão e análise dos parâmetros que orientam as sondagens — interpretações distintas;Dificuldade na compreensão e análise dos parâmetros que orientam as sondagens — interpretações distintas;Poucos espaços coletivos (todos os professores) de troca e formação para leitura e uso pedagógico de dados de avaliação e sondagem;Fragilidade na formação para uso e análise de dados de avaliação;1;;
Eixo 5 - Acompanhamento e Monitoramento;Fragilidade na sistematização e unificação de critérios, papéis e instrumentos definidos para o acompanhamento e monitoramento das práticas e aprendizagens de alfabetização — entre SME, DREs e unidades escolares — que fragmenta as ações e as mantém desintegradas das rotinas pedagógicas.;Fragilidade de integração e comunicação entre SME, DREs e unidades escolares;Fragilidade na comunicação e planejamento integrado entre SME, DREs e UEs;Sobrecarga das UEs com comunicados e demandas sobrepostas sem tempo de absorção - o acompanhamento fica em segundo plano;Fragilidade na comunicação e planejamento integrado entre SME, DREs e UEs;4;;
Eixo 5 - Acompanhamento e Monitoramento;Fragilidade na sistematização e unificação de critérios, papéis e instrumentos definidos para o acompanhamento e monitoramento das práticas e aprendizagens de alfabetização — entre SME, DREs e unidades escolares — que fragmenta as ações e as mantém desintegradas das rotinas pedagógicas.;Fragilidade de integração e comunicação entre SME, DREs e unidades escolares;Fragilidade na comunicação e planejamento integrado entre SME, DREs e UEs;Baixo aproveitamento de dados, resultando em retrabalho por preenchimentos redundantes de pedidos e preenchimento;Fragilidade na formação para uso e análise de dados de avaliação;;;
Eixo 5 - Acompanhamento e Monitoramento;Fragilidade na sistematização e unificação de critérios, papéis e instrumentos definidos para o acompanhamento e monitoramento das práticas e aprendizagens de alfabetização — entre SME, DREs e unidades escolares — que fragmenta as ações e as mantém desintegradas das rotinas pedagógicas.;Avaliações externas não são utilizadas como instrumentos de acompanhamento pedagógico;Baixo uso dos dados das avaliações para planejamento e acompanhamento pedagógico;Sobreposição de avaliações (Prova SP, SARESP, Saeb) em curto período;Excesso e sobreposição de avaliações  no calendário escolar;;;
Eixo 5 - Acompanhamento e Monitoramento;Fragilidade na sistematização e unificação de critérios, papéis e instrumentos definidos para o acompanhamento e monitoramento das práticas e aprendizagens de alfabetização — entre SME, DREs e unidades escolares — que fragmenta as ações e as mantém desintegradas das rotinas pedagógicas.;Avaliações externas não são utilizadas como instrumentos de acompanhamento pedagógico;Baixo uso dos dados das avaliações para planejamento e acompanhamento pedagógico;Limitações na qualificação das formações para leitura e uso de dados, sem a devida diferenciação por segmento/ âmbito de atuação (DRE/UE).;Fragilidade na formação para uso e análise de dados de avaliação;1;;
Eixo 5 - Acompanhamento e Monitoramento;Fragilidade na sistematização e unificação de critérios, papéis e instrumentos definidos para o acompanhamento e monitoramento das práticas e aprendizagens de alfabetização — entre SME, DREs e unidades escolares — que fragmenta as ações e as mantém desintegradas das rotinas pedagógicas.;Avaliações externas não são utilizadas como instrumentos de acompanhamento pedagógico;Baixo uso dos dados das avaliações para planejamento e acompanhamento pedagógico;Desafios na transposição da concepção de avaliação para a prática pedagógica e rotinas de implementação na rede.;Desafios na transposição da concepção de avaliação para a prática pedagógica e rotinas de implementação na rede.;;;
Eixo 6 - Avaliação;Subutiliização das avaliações;Falta de tempo para análise dos dados das avaliações;Fragilidade na formação para uso e análise de dados de avaliação;;;;;
Eixo 6 - Avaliação;Subutiliização das avaliações;Concentração temporal e excesso de avaliações externas desorganiza a rotina pedagógica;Excesso e sobreposição de avaliações  no calendário escolar;Concomitância de muitas avaliações no mesmo período;Excesso e sobreposição de avaliações  no calendário escolar;5;;
Eixo 6 - Avaliação;Subutiliização das avaliações;Concentração temporal e excesso de avaliações externas desorganiza a rotina pedagógica;Excesso e sobreposição de avaliações  no calendário escolar;Falta de coordenação no cronograma das avaliações municipais;Excesso e sobreposição de avaliações  no calendário escolar;;;
Eixo 6 - Avaliação;Subutiliização das avaliações;Baixo uso pedagógico dos dados das avaliações;Baixo uso dos dados das avaliações para planejamento e acompanhamento pedagógico;Formações de professores para avaliação são insufucientes;Fragilidade na formação para uso e análise de dados de avaliação;;;
Eixo 6 - Avaliação;Subutiliização das avaliações;Baixo uso pedagógico dos dados das avaliações;Baixo uso dos dados das avaliações para planejamento e acompanhamento pedagógico;Dificuldade de uso dos instrumentos avaliativos para atendimento individualizado e aferição de diferenças e desigualdades;Dificuldade de uso dos instrumentos avaliativos para atendimento individualizado e aferição de diferenças e desigualdades;;;
Eixo 6 - Avaliação;Subutiliização das avaliações;Fragilidade na comunicação sobre avaliações e seus resultados;Fragilidade na comunicação sobre avaliações e seus resultados;Desconexão entre os dados das avaliações externas e a prática pedagógicas cotidianas;Fragilidade na integração entre currículo, materiais didáticos, práticas pedagógicas e avaliações;5;;
Eixo 6 - Avaliação;Subutiliização das avaliações;Desafios de integração entre o currículo, materiais didáticos, práticas pedagógicas e avaliações;Fragilidade na integração entre currículo, materiais didáticos, práticas pedagógicas e avaliações;Formações não abordam diretamente resultados de avaliação.;Fragilidade na formação para uso e análise de dados de avaliação;1;;
Eixo 6 - Avaliação;Subutiliização das avaliações;Desafios de integração entre o currículo, materiais didáticos, práticas pedagógicas e avaliações;Fragilidade na integração entre currículo, materiais didáticos, práticas pedagógicas e avaliações;Professor e gestão entendem a avaliação como “pressão por resultados” e como provas que induzem a treinamentos, gerando receio de medidas punitivas;Professor e gestão entendem a avaliação como “pressão por resultados” e como provas que induzem a treinamentos, gerando receio de medidas punitivas;2;;
Eixo 6 - Avaliação;Subutiliização das avaliações;Desafios de integração entre o currículo, materiais didáticos, práticas pedagógicas e avaliações;Fragilidade na integração entre currículo, materiais didáticos, práticas pedagógicas e avaliações;Falta de articulação entre formadores, equipe gestora e professores para o desenvolvimento dos planos de ação;Fragilidade no planejamento do acompanhamento pedagógico dos estudantes e das práticas docentes;1;;
Eixo 7 - Materiais Didáticos e Pedagógicos;Desarticulação entre o Currículo da Cidade, os materiais pedagógicos e a prática docente no ciclo de alfabetização;Dificuldades de apropriação e implementação do Currículo da Cidade;Fragilidade na integração entre currículo, materiais didáticos, práticas pedagógicas e avaliações;Currículo da Cidade reconhecido como referência mas com baixa incorporação efetiva à prática de sala de aula;Fragmentação da concepção e prática de alfabetização, com entendimentos distintos entre intâncias e atores da rede sobre instrumentos normativos;2;Falta de atualização do material do professor do Caderno da Cidade e desconhecimento do processo de elaboração e aplicação do Currículo e dos materiais;Falta de atualização do material do professor do Caderno da Cidade e desconhecimento do processo de elaboração e aplicação do Currículo e dos materiais
Eixo 7 - Materiais Didáticos e Pedagógicos;Desarticulação entre o Currículo da Cidade, os materiais pedagógicos e a prática docente no ciclo de alfabetização;Dificuldades de apropriação e implementação do Currículo da Cidade;Fragilidade na integração entre currículo, materiais didáticos, práticas pedagógicas e avaliações;Planejamento de aula orientado pelo currículo mas sem articulação consistente com a sondagem e a avaliação formativa;Fragilidade na integração entre currículo, materiais didáticos, práticas pedagógicas e avaliações;5;;
Eixo 7 - Materiais Didáticos e Pedagógicos;Desarticulação entre o Currículo da Cidade, os materiais pedagógicos e a prática docente no ciclo de alfabetização;Dificuldades de apropriação e implementação do Currículo da Cidade;Fragilidade na integração entre currículo, materiais didáticos, práticas pedagógicas e avaliações;Desalinhamento de termos e concepções entre Educação Infantil e ciclo de alfabetização — documentos posteriores ao currículo fragmentam as informações e dificultam a integração entre etapas;Fragilidade na articulação curricular, planejamento integrado e continuidade pedagógica entre as etapas de ensino (Ed. Infantil e Ciclo de Alfabetização);;;
Eixo 7 - Materiais Didáticos e Pedagógicos;Desarticulação entre o Currículo da Cidade, os materiais pedagógicos e a prática docente no ciclo de alfabetização;Materiais pedagógicos da rede subutilizados ou mal integrados ao currículo e à prática docente;Fragilidade na integração entre currículo, materiais didáticos, práticas pedagógicas e avaliações;Kits enviados pela SME valorizados pelas professoras mas sem formação suficiente para uso integrado ao currículo;Fragilidade na formação continuada de professores e trio gestor acerca da alfabetização ;;;
Eixo 7 - Materiais Didáticos e Pedagógicos;Desarticulação entre o Currículo da Cidade, os materiais pedagógicos e a prática docente no ciclo de alfabetização;Materiais pedagógicos da rede subutilizados ou mal integrados ao currículo e à prática docente;Fragilidade na integração entre currículo, materiais didáticos, práticas pedagógicas e avaliações;Uso do acervo literário concentrado nas salas de leitura — cantos de leitura subutilizados em sala de aula;Fragmentação da concepção e prática de alfabetização, com entendimentos distintos entre intâncias e atores da rede sobre instrumentos normativos;1;;
Eixo 7 - Materiais Didáticos e Pedagógicos;Desarticulação entre o Currículo da Cidade, os materiais pedagógicos e a prática docente no ciclo de alfabetização;Materiais pedagógicos da rede subutilizados ou mal integrados ao currículo e à prática docente;Fragilidade na integração entre currículo, materiais didáticos, práticas pedagógicas e avaliações;Recursos pedagógicos são insuficientes para todos os estudantes;Recursos pedagógicos são insuficientes para todos os estudantes;;Problemas de gestão: Pouco conhecimento do processo de aquisição e distribuição./ Pouca variação da estratégia de oferta dos recursos pedagógico considerando as propostas em grandes e pequenos grupos;Problemas de gestão: Pouco conhecimento do processo de aquisição e distribuição./ Pouca variação da estratégia de oferta dos recursos pedagógico considerando as propostas em grandes e pequenos grupos
Eixo 7 - Materiais Didáticos e Pedagógicos;Desarticulação entre o Currículo da Cidade, os materiais pedagógicos e a prática docente no ciclo de alfabetização;Materiais pedagógicos da rede subutilizados ou mal integrados ao currículo e à prática docente;Fragilidade na integração entre currículo, materiais didáticos, práticas pedagógicas e avaliações;Dispersão de materiais de apoio (boletim, saberes, revista pedagógica, fascículo) dificulta o acompanhamento — pressão das unidades bimestrais a finalizar gera uso mecânico sem intencionalidade pedagógica;Dispersão de materiais de apoio (boletim, saberes, revista pedagógica, fascículo) dificulta o acompanhamento — pressão das unidades bimestrais a finalizar gera uso mecânico sem intencionalidade pedagógica;;Sobrecarga de tarefas administrativas para a gestão pedagógica dificulta a articulação entre o boletim e os professores.;Sobrecarga de tarefas administrativas para a gestão pedagógica dificulta a articulação entre o boletim e os professores.
Eixo 7 - Materiais Didáticos e Pedagógicos;Desarticulação entre o Currículo da Cidade, os materiais pedagógicos e a prática docente no ciclo de alfabetização;Baixa integração entre currículo, práticas pedagógicas e avaliação;Fragilidade na integração entre currículo, materiais didáticos, práticas pedagógicas e avaliações;Falta entendimento dos educadores sobre a metodologia e objetivos das avaliações externas e desconhecimento da matriz de referência.;Fragilidade na formação para uso e análise de dados de avaliação;;;
Eixo 7 - Materiais Didáticos e Pedagógicos;Desarticulação entre o Currículo da Cidade, os materiais pedagógicos e a prática docente no ciclo de alfabetização;Baixa integração entre currículo, práticas pedagógicas e avaliação;Fragilidade na integração entre currículo, materiais didáticos, práticas pedagógicas e avaliações;Poucos momentos de planejamento coletivo e articulado e de tematização de práticas com a equipe docente (planejamento é escasso e insuficiente);Sobrecarga de demandas e fragilidade no planejamento e o acompanhamento pedagógico dos estudantes e das práticas docentes.;5;;
Eixo 7 - Materiais Didáticos e Pedagógicos;Desarticulação entre o Currículo da Cidade, os materiais pedagógicos e a prática docente no ciclo de alfabetização;Baixa integração entre currículo, práticas pedagógicas e avaliação;Fragilidade na integração entre currículo, materiais didáticos, práticas pedagógicas e avaliações;Fragilidade na sistematização do acompanhamento pelas professoras e equipe gestora do planejamento, das práticas e da avaliação das aprendizagens para garantir a alfabetização;Sobrecarga de demandas e fragilidade no planejamento e o acompanhamento pedagógico dos estudantes e das práticas docentes.;;Fragilidade na elaboração e realização das sondagens para o público AEE;Fragilidade no atendimento dos estudantes em suas individualidades (AEE e vulnerabilidades)
Eixo 7 - Materiais Didáticos e Pedagógicos;Desarticulação entre o Currículo da Cidade, os materiais pedagógicos e a prática docente no ciclo de alfabetização;Fragmentação das estratégias metodológicas no ciclo de alfabetização;Fragmentação da concepção e prática de alfabetização, com entendimentos distintos entre intâncias e atores da rede sobre instrumentos normativos;Materiais não acessíveis para estudantes com deficiência - eliminação de barreiras;Fragilidade no atendimento dos estudantes em suas individualidades (AEE e vulnerabilidades);;Falta de apropriação das matrizes de referência e de acessibilidade aos estudantes AEE;Fragilidade no atendimento dos estudantes em suas individualidades (AEE e vulnerabilidades)
Eixo 7 - Materiais Didáticos e Pedagógicos;Desarticulação entre o Currículo da Cidade, os materiais pedagógicos e a prática docente no ciclo de alfabetização;Fragmentação das estratégias metodológicas no ciclo de alfabetização;Fragmentação da concepção e prática de alfabetização, com entendimentos distintos entre intâncias e atores da rede sobre instrumentos normativos;Pouca diversificação de estratégias metodológicas voltadas para o ciclo de alfabetização — foco em atividades coletivas sem personalização para diferentes hipóteses de escrita;Fragmentação da concepção e prática de alfabetização, com entendimentos distintos entre intâncias e atores da rede sobre instrumentos normativos;2;Falta de uma orientação didática específica para alfabetização em diálogo com a proposta da educação infantil.;Fragilidade na articulação curricular, planejamento integrado e continuidade pedagógica entre as etapas de ensino (Ed. Infantil e Ciclo de Alfabetização)
Eixo 7 - Materiais Didáticos e Pedagógicos;Desarticulação entre o Currículo da Cidade, os materiais pedagógicos e a prática docente no ciclo de alfabetização;Fragmentação das estratégias metodológicas no ciclo de alfabetização;Fragmentação da concepção e prática de alfabetização, com entendimentos distintos entre intâncias e atores da rede sobre instrumentos normativos;Pouca compreensão acerca das quatro situações didáticas (leitura pelo professor, escrita pelo professor, leitura pelo estudante, escrita pelo estudante) como estrutura no ciclo de alfabetização;Fragmentação da concepção e prática de alfabetização, com entendimentos distintos entre intâncias e atores da rede sobre instrumentos normativos;1;Falta de uma orientação didática específica para alfabetização;Fragmentação da concepção e prática de alfabetização, com entendimentos distintos entre intâncias e atores da rede sobre instrumentos normativos
Eixo 7 - Materiais Didáticos e Pedagógicos;Desarticulação entre o Currículo da Cidade, os materiais pedagógicos e a prática docente no ciclo de alfabetização;Fragmentação das estratégias metodológicas no ciclo de alfabetização;Fragmentação da concepção e prática de alfabetização, com entendimentos distintos entre intâncias e atores da rede sobre instrumentos normativos;Fragilidade na articulação entre as etapas de ensino (educação infantil e ciclo de alfabetização);Fragilidade na articulação curricular, planejamento integrado e continuidade pedagógica entre as etapas de ensino (Ed. Infantil e Ciclo de Alfabetização);4;;
Eixo 3 - Infraestrutura Física e Pedagógica;Baixa disponibilização e utilização dos recursos físicos e pedagógicos nas unidades escolares comprometem a criação de ambientes alfabetizadores de qualidade — com impacto desigual nas escolas em contextos de maior vulnerabilidade;Falta de disponibilização de materiais para uso dos professores;Falta de disponibilização de materiais para uso dos professores;Cultura de preservação do patrimônio em detrimento do uso pedagógico, dificultando o acesso do professor ao material;Fragmentação da concepção e prática de alfabetização, com entendimentos distintos entre intâncias e atores da rede sobre instrumentos normativos;;;
Eixo 3 - Infraestrutura Física e Pedagógica;Baixa disponibilização e utilização dos recursos físicos e pedagógicos nas unidades escolares comprometem a criação de ambientes alfabetizadores de qualidade — com impacto desigual nas escolas em contextos de maior vulnerabilidade;Falta de disponibilização de materiais para uso dos professores;Falta de disponibilização de materiais para uso dos professores;Recursos financeiros insuficientes para compra, manutenção e/ou reposição dos materiais.;Recursos financeiros insuficientes para compra, manutenção e/ou reposição dos materiais.;6;;
Eixo 3 - Infraestrutura Física e Pedagógica;Baixa disponibilização e utilização dos recursos físicos e pedagógicos nas unidades escolares comprometem a criação de ambientes alfabetizadores de qualidade — com impacto desigual nas escolas em contextos de maior vulnerabilidade;Falta de disponibilização de materiais para uso dos estudantes em sua individualidade;Falta de disponibilização de materiais para uso dos estudantes em sua individualidade;KITs didaticos insuficientes para atender à diversidade de hipóteses de escrita e necessidades específicas dos estudantes;KITs didaticos insuficientes para atender à diversidade de hipóteses de escrita e necessidades específicas dos estudantes;;;
Eixo 3 - Infraestrutura Física e Pedagógica;Baixa disponibilização e utilização dos recursos físicos e pedagógicos nas unidades escolares comprometem a criação de ambientes alfabetizadores de qualidade — com impacto desigual nas escolas em contextos de maior vulnerabilidade;Falta de disponibilização de materiais para uso dos estudantes em sua individualidade;Falta de disponibilização de materiais para uso dos estudantes em sua individualidade;Ausência de espaços e mobiliários (prateleiras e expositores) adequados leva ao armazenamento de materiais diversos em locais inacessíveis para as crianças;Ausência de espaços e mobiliários (prateleiras e expositores) adequados leva ao armazenamento de materiais diversos em locais inacessíveis para as crianças;;;
Eixo 3 - Infraestrutura Física e Pedagógica;Baixa disponibilização e utilização dos recursos físicos e pedagógicos nas unidades escolares comprometem a criação de ambientes alfabetizadores de qualidade — com impacto desigual nas escolas em contextos de maior vulnerabilidade;Falta de disponibilização de materiais para uso dos estudantes em sua individualidade;Falta de disponibilização de materiais para uso dos estudantes em sua individualidade;Acervo mal administrado e organização de sala inadequada, dificultando o acesso dos estudantes ao material;Acervo mal administrado e organização de sala inadequada, dificultando o acesso dos estudantes ao material;;;
Eixo 3 - Infraestrutura Física e Pedagógica;Baixa disponibilização e utilização dos recursos físicos e pedagógicos nas unidades escolares comprometem a criação de ambientes alfabetizadores de qualidade — com impacto desigual nas escolas em contextos de maior vulnerabilidade;Falta de disponibilização de materiais para uso dos estudantes em sua individualidade;Falta de disponibilização de materiais para uso dos estudantes em sua individualidade;Compartilhamento de salas com outras turmas que não reconhecem o valor pedagógico dos materiais;Compartilhamento de salas com outras turmas que não reconhecem o valor pedagógico dos materiais;;;
Eixo 3 - Infraestrutura Física e Pedagógica;Baixa disponibilização e utilização dos recursos físicos e pedagógicos nas unidades escolares comprometem a criação de ambientes alfabetizadores de qualidade — com impacto desigual nas escolas em contextos de maior vulnerabilidade;Falta de estimulo à utilização dos espaços de leitura e materiais disponíveis;Falta de estimulo à utilização dos espaços de leitura e materiais disponíveis;Baixa intencionalidade pedagógica para produções que poderiam ser confeccionados por estudantes;Baixa intencionalidade pedagógica para produções que poderiam ser confeccionados por estudantes;5;;
Eixo 3 - Infraestrutura Física e Pedagógica;Baixa disponibilização e utilização dos recursos físicos e pedagógicos nas unidades escolares comprometem a criação de ambientes alfabetizadores de qualidade — com impacto desigual nas escolas em contextos de maior vulnerabilidade;Fragilidade no atendimento aos estudantes e na compreensão das diferentes possibildades do uso de materiais e espaços (as diferentes formas de aprendizagem);Fragmentação da concepção e prática de alfabetização, com entendimentos distintos entre intâncias e atores da rede sobre instrumentos normativos;Poucas estratégias (ou ausência de diferentes estratégias) de implementação e acompanhamento dos materiais curriculares e pedagógicos;Fragilidade no planejamento do acompanhamento pedagógico dos estudantes e das práticas docentes;;;
Eixo 3 - Infraestrutura Física e Pedagógica;Baixa disponibilização e utilização dos recursos físicos e pedagógicos nas unidades escolares comprometem a criação de ambientes alfabetizadores de qualidade — com impacto desigual nas escolas em contextos de maior vulnerabilidade;Inadequadação física das unidades para garantir condições de aprendizagem e inclusão;Fragilidade no atendimento dos estudantes em suas individualidades (AEE e vulnerabilidades);Alto número de estudantes por professor;Alto número de estudantes por turma;5;;
Eixo 3 - Infraestrutura Física e Pedagógica;Baixa disponibilização e utilização dos recursos físicos e pedagógicos nas unidades escolares comprometem a criação de ambientes alfabetizadores de qualidade — com impacto desigual nas escolas em contextos de maior vulnerabilidade;Inadequadação física das unidades para garantir condições de aprendizagem e inclusão;Fragilidade no atendimento dos estudantes em suas individualidades (AEE e vulnerabilidades);Infraestrutura física inadequada para implementação do currículo e para garantia de uma educação integral (parques, salas de leitura, LED, entre outros);Infraestrutura física inadequada para implementação do currículo e para garantia de uma educação integral (parques, salas de leitura, LED, entre outros);5;;
Eixo 3 - Infraestrutura Física e Pedagógica;Baixa disponibilização e utilização dos recursos físicos e pedagógicos nas unidades escolares comprometem a criação de ambientes alfabetizadores de qualidade — com impacto desigual nas escolas em contextos de maior vulnerabilidade;Inadequação de recursos humanos - número insuficiente para o atendimento de todos os estudantes e professores;Insuficiência do quadro de profissionais  ;Falta de apoio ao professor nos corredores, em especial quando alguma criança precisa sair da sala;Quadro de apoio em quantidade insuficiente;;;
Eixo 3 - Infraestrutura Física e Pedagógica;Baixa disponibilização e utilização dos recursos físicos e pedagógicos nas unidades escolares comprometem a criação de ambientes alfabetizadores de qualidade — com impacto desigual nas escolas em contextos de maior vulnerabilidade;Inadequação de recursos humanos - número insuficiente para o atendimento de todos os estudantes e professores;Insuficiência do quadro de profissionais  ;Qualificação dos professores alfabetizadores;Fragilidade na identidade, formação especializada e ausência de incentivos para permanência de professores alfabetizadores, o que dificulta a continuidade e consolidação de práticas;;;
;;;;;;;;
